   Orient,   Pix p/ Cell, Color,   Time Train,   Accuracy,   Time Predict,   Time Extract
11,8, BGR,95.5,0.94,0.002221,127.604
11,8, YUV,61.14,0.96,0.00211,127.016
11,8, RGB,95.42,0.94,0.002319,129.652
11,8, HSV,83.63,0.95,0.002076,137.099
11,8, HLS,89.15,0.95,0.002218,132.62
11,16, BGR,17.43,0.95,0.004175,68.1027
11,16, YUV,6.92,0.97,0.002062,69.2562
11,16, RGB,17.08,0.95,0.001493,67.7792
11,16, HSV,9.84,0.97,0.001969,75.3546
11,16, HLS,10,0.96,0.001521,73.9208
12,8, BGR,95.4,0.95,0.002617,132.813
12,8, YUV,62.21,0.97,0.002151,132.003
12,8, RGB,94.24,0.95,0.002296,131.094
12,8, HSV,85.57,0.95,0.002405,132.394
12,8, HLS,84.13,0.95,0.002313,131.651
12,16, BGR,15.2,0.95,0.001508,66.7208
12,16, YUV,5.77,0.97,0.004526,68.9501
12,16, RGB,14.91,0.95,0.001493,68.6432
12,16, HSV,9.52,0.97,0.008444,78.2763
12,16, HLS,9.28,0.96,0.002115,82.2828
